id,longitude,latitude,1,2,3,4,5,6,7,8,9,10,11,12,13
1,48.27816644235732,134.7782135009766,5028,7720,9097,9185,9205,9318,9329,9054,8914,8249,6483,5158,4823
2,48.27885189690717,134.79057312011722,5146,7930,9204,9135,9224,9253,9371,9027,8879,8291,6728,5356,6753
3,48.27908037971334,134.8063659667969,5487,7967,9180,9100,9235,9249,9348,9061,8858,8296,6487,5605,5309
4,48.278623413079096,134.82696533203128,4950,7802,9042,9165,9202,8707,9312,8891,8679,7721,6065,4996,4555
5,48.27816644235732,134.84550476074222,4150,7878,9164,9261,9266,8651,9338,9010,8748,7674,6162,4574,4385
6,48.27839492822915,134.8722839355469,3977,7979,9084,9231,9234,8917,9296,9008,8685,7478,5486,4480,3545
7,48.278623413079096,134.89322662353518,4600,7698,9201,9211,9310,7920,9297,8964,8553,7475,5472,4456,3593
8,48.27816644235732,134.92412567138675,3883,7724,9237,9167,9313,8352,9121,8961,8607,7713,5646,4576,3566
9,48.27885189690717,134.93923187255862,4153,7496,8842,8820,9005,7841,8763,8632,8280,7077,4803,4215,3468
10,48.278623413079096,134.95742797851565,4012,4642,8852,8998,9040,6821,8921,8695,8318,7243,4997,4422,3423
11,48.27839492822915,134.9766540527344,4364,4385,8782,9032,9152,9326,8818,9006,8634,7760,5118,4517,3705
12,48.27725248865108,134.9876403808594,4491,4507,8734,9219,9240,9092,9357,8981,8752,7865,5189,4711,4453
13,48.27793795546357,135.00000000000003,4899,4854,9015,9119,9272,9086,9286,8971,8759,8005,5260,5135,4309
14,48.27770946754797,135.01407623291018,5448,5179,9201,9171,9300,9123,9353,9042,8856,7997,5717,5878,4846
15,48.27770946754797,135.025749206543,5842,5546,9146,9263,9319,9179,9389,9115,8893,8118,5726,6227,5396
16,48.27748097861048,135.03913879394534,5529,5640,9127,9133,9280,9175,9314,9098,8852,7905,5700,6260,5189
17,48.27725248865108,135.04943847656253,5100,4821,8923,8726,9131,8778,8983,8942,8651,7502,5253,5966,4159
18,48.27770946754797,135.06145477294925,4406,4164,8366,8194,8853,8558,8598,8429,8391,6857,4659,3682,4141
19,48.27725248865108,135.07278442382815,4134,4375,7892,9110,8950,8160,8851,8678,8399,7123,4639,4606,3891
20,48.27725248865108,135.08720397949222,4441,4285,8672,9259,9156,8392,8990,8928,8852,7559,4735,4664,3853
21,48.27839492822915,135.10128021240237,5000,4756,8803,8522,9239,9209,9185,9056,8817,7757,4949,4237,3677
22,48.27816644235732,135.113639831543,5384,5356,8646,8913,9187,7807,8699,8978,8767,7674,5306,4940,4781
23,48.27930886149765,135.13355255126956,5475,5682,8666,9114,9245,8433,8854,9036,8856,7962,5697,5225,5620
24,48.27793795546357,135.1524353027344,5439,5464,9138,9181,9261,9019,7934,9088,8805,7717,5917,5133,4790
25,48.278623413079096,135.16685485839847,6061,5935,9027,9158,9199,8813,8002,8993,8695,7655,6013,6276,5899
26,48.278623413079096,135.17852783203128,6169,6142,9042,9155,9198,8745,9381,8989,8687,7866,6139,6094,6186
27,48.27816644235732,135.1960372924805,6360,6183,9017,9160,9200,8899,9372,9030,8725,7879,6190,6423,6139
28,48.27839492822915,135.22109985351565,5846,5796,8992,9109,9195,8906,8528,9033,8712,7690,6099,6393,5862
29,48.27816644235732,135.2399826049805,5209,7141,9058,9110,9142,9208,9145,8965,8589,7429,5834,4891,4983
30,48.27816644235732,135.25302886962893,5604,6917,9035,9048,9120,8652,9229,9016,8607,7768,6014,5327,5907
31,48.27793795546357,135.26470184326175,6293,7200,9057,9083,9116,9172,9235,8983,8608,7803,6409,5960,6125
32,48.27793795546357,135.27603149414065,6112,7293,8954,9046,9105,7579,9195,8911,8622,7662,5873,5603,5942
33,48.27748097861048,135.28804779052737,5829,7187,9072,9145,9201,9404,9201,9045,8738,7696,5796,5302,5424
34,48.27793795546357,135.30212402343753,6075,7237,9086,9100,9181,9334,9094,9066,8735,7980,6228,5399,5484
35,48.27816644235732,135.31551361083987,6193,7551,9091,9115,9179,9227,9148,9046,8734,7792,6108,5228,5583
36,48.27793795546357,135.32546997070315,5736,7540,9124,9136,9218,8753,9172,9072,8705,7716,5980,4920,5526
37,48.27816644235732,135.3385162353516,5254,7360,9115,9129,9206,8888,9209,8999,8691,7621,5849,4739,5006
38,48.27748097861048,135.34847259521487,4723,6728,9102,8850,9174,9223,9192,8949,8696,7633,5353,3781,4326
39,48.27793795546357,135.36460876464847,4164,6700,8974,8840,9174,8942,8946,8776,8450,7403,4944,3571,4125
40,48.278623413079096,135.3776550292969,3948,6468,8751,8703,8981,9036,8866,8538,8274,6899,4822,3453,3947
41,48.27908037971334,135.38967132568362,3697,5758,8478,8452,8816,8945,8716,8399,7929,6558,4596,3725,3831
42,48.27885189690717,135.40374755859378,3345,5420,8209,8407,8760,8924,8732,8247,7821,6567,4680,3989,4000
43,48.27793795546357,135.4264068603516,3785,3477,8492,8819,8931,8945,9002,8395,8108,6610,4377,3927,4016
44,48.26971174670462,134.7792434692383,5146,7450,9133,9276,9258,8445,9377,9069,8899,8036,6261,5718,5050
45,48.26925469627431,134.79228973388675,5733,7446,9107,9203,9262,8377,9384,9061,8851,8159,6508,5759,5195
46,48.27062583530228,134.80842590332034,5799,7563,9014,9184,9226,8400,9342,9026,8830,8151,6508,6766,6950
47,48.27016879304729,134.82902526855472,6149,7815,9058,9212,9232,7729,9046,9010,8774,7899,6342,5295,5893
48,48.27062583530228,134.84310150146487,5250,8032,9126,9236,9244,8859,9311,9015,8827,8067,6987,5867,6112
49,48.26994027038691,134.86988067626956,4848,7803,9160,9255,9305,9323,9346,9022,8799,8046,5741,5591,5842
50,48.26971174670462,134.89082336425784,4960,7752,9171,9302,9286,9281,9365,9040,8744,7876,5452,4648,3788
51,48.27039731468575,134.9045562744141,5077,7846,9210,9287,9302,8719,9193,9060,8805,8022,5501,4719,3941
52,48.26902616952623,134.91725921630862,4521,8032,9201,9284,9316,8208,9208,9072,8835,8088,5736,5188,4341
53,48.26902616952623,134.926872253418,4677,7970,9117,9221,9265,9235,9228,8975,8701,7928,5628,5315,4761
54,48.26971174670462,134.94129180908206,5242,5071,9148,9220,9291,9397,9306,9022,8750,7969,5801,4876,4613
55,48.268797641756244,134.95159149169925,4651,4988,9180,9220,9370,9364,9354,9108,8826,7888,6014,5362,4586
56,48.26811205231475,134.9653244018555,4754,4938,9265,9281,9369,9326,9437,9208,8954,8080,5160,5081,4699
57,48.26902616952623,134.97768402099612,5000,4917,9244,9265,9375,9167,9412,9133,8926,8008,5234,5219,4495
58,48.268797641756244,134.99038696289065,5094,5040,9205,9175,9324,9159,9301,9029,8756,7691,5177,5212,4954
59,48.26811205231475,135.00137329101565,5336,7496,9156,9102,9268,9153,9268,8993,8765,7768,5606,5820,5068
60,48.269483222000446,135.0154495239258,5916,5446,9106,9124,9278,9181,9305,9101,8906,7934,5845,6010,4929
61,48.26902616952623,135.02780914306643,5823,5894,9052,9041,9286,9143,9335,9082,8862,7803,5868,6605,5391
62,48.26902616952623,135.03913879394534,5430,5492,9016,8817,9167,9059,9266,8944,8699,7474,5714,6174,5956
63,48.268569112964364,135.0535583496094,4761,4557,8915,8298,9000,8815,9014,8620,8220,7016,5136,4630,4174
64,48.26971174670462,135.06729125976565,4371,6739,9019,8247,9068,8901,8704,8520,8216,7169,4813,4058,4049
65,48.26971174670462,135.07930755615237,4469,7043,8502,8523,8860,8763,8902,8594,8433,7266,4867,4401,4299
66,48.26811205231475,135.08960723876956,4728,7386,8650,8227,9056,8502,8743,8723,8334,7904,5148,4109,4859
67,48.268797641756244,135.1023101806641,5265,7715,8630,8386,9167,8750,8873,9009,8610,7911,5547,4964,5269
68,48.268340583150525,135.11501312255862,5627,5465,8801,9200,9242,9094,9100,9035,8831,7807,5533,5031,5009
69,48.268569112964364,135.12840270996097,5026,5201,8729,9136,9311,9284,9162,9110,8884,7849,5419,4812,4229
70,48.268569112964364,135.13870239257815,4494,4938,9143,9181,9304,8893,9000,9116,8921,7865,5406,4569,4298
71,48.26971174670462,135.15449523925784,4909,5228,9093,9221,9300,8946,9047,9069,8775,7548,5523,4860,4550
72,48.26902616952623,135.16719818115237,5838,5679,9107,9202,9270,8982,9243,9113,8852,7823,5641,5208,5015
73,48.26971174670462,135.1802444458008,5602,5692,9099,9194,9228,9007,9384,9093,8849,7809,6128,5505,5354
74,48.269483222000446,135.19260406494143,6148,6024,9063,9162,9194,9097,9514,8977,8653,7899,6289,5953,6217
75,48.268797641756244,135.20427703857425,6380,6333,9030,9142,9179,9051,9398,8955,8656,7950,6478,6198,6289
76,48.268569112964364,135.23174285888675,6286,7340,8991,9124,9143,8897,9106,8997,8708,7785,6531,6592,6475
77,48.268797641756244,135.24787902832034,6280,7302,8977,9058,9128,8017,9189,9000,8686,7810,6482,5978,6366
78,48.26971174670462,135.2681350708008,6457,7373,9012,9082,9125,9158,9209,8991,8660,7828,6146,5983,6209
79,48.269483222000446,135.2780914306641,6156,7468,9044,9139,9179,8999,9235,9024,8702,7853,6254,5613,5846
80,48.26902616952623,135.2897644042969,5954,6672,9092,9134,9171,9007,9251,9040,8706,7713,6120,5477,5760
81,48.269483222000446,135.30418395996097,5723,6937,9066,9146,9178,9072,9161,9055,8700,7647,6020,5232,5523
82,48.26994027038691,135.31997680664065,5808,7272,9083,9154,9193,9336,9198,9059,8728,7732,6020,5002,5475
83,48.268569112964364,135.33817291259768,5550,5502,9149,8914,9224,9239,9185,9074,8783,7845,5585,4696,5054
84,48.268340583150525,135.35465240478518,4677,5973,9167,8959,9239,9302,9156,9075,8754,7760,5294,4305,4640
85,48.268569112964364,135.3779983520508,3567,4910,8724,8677,8991,9046,8744,8584,7915,6580,4501,3465,3979
86,48.26902616952623,135.40203094482425,3137,4572,8283,8547,8785,8923,8542,8344,7702,6271,4394,3960,3919
87,48.26994027038691,135.4274368286133,3403,3577,8390,8573,8839,9012,8915,8431,7952,6746,4546,3867,3833
88,48.26125565204099,134.74456787109378,4620,7754,9229,9219,9244,8503,9288,9066,8937,8219,6640,5526,4069
89,48.26194133345718,134.75967407226565,4988,7824,9252,9292,9265,9395,9341,9127,9008,8348,6696,6239,6666
90,48.261712774007066,134.77100372314456,5244,7326,9166,9299,9255,7147,9353,9132,8993,8335,6483,7036,5564
91,48.26194133345718,134.79091644287112,5813,7318,9148,9249,9260,7713,9353,9109,8975,8461,6724,6398,6043
92,48.26102708952502,134.80773925781253,6039,7523,9047,9177,9205,6272,9335,9074,8911,8225,6888,7030,6806
93,48.26056996142719,134.8173522949219,6190,7693,9034,9164,9196,8539,9298,9058,8839,8101,6946,6918,5837
94,48.26102708952502,134.83177185058597,6704,7746,9009,9174,9175,8928,9333,9028,8825,8088,7015,6950,6271
95,48.262627005675796,134.85099792480472,6433,7821,9020,9227,9226,3540,9370,9081,8874,8131,7116,6894,7325
96,48.260798525987084,134.86850738525393,6129,7663,9074,9274,9299,8612,9378,9117,8895,7996,6097,5890,5304
97,48.26125565204099,134.882926940918,5705,7545,9024,9260,9263,9425,9358,9073,8809,8148,6154,5861,5526
98,48.26125565204099,134.89494323730472,6017,7830,9128,9303,9374,8392,9375,9083,8888,8171,6160,6076,4777
99,48.26056996142719,134.90592956542972,5669,7840,9146,9312,9372,8563,9225,9109,8914,8268,5637,6190,4787
100,48.260798525987084,134.9213790893555,5540,7470,9099,9291,9367,8914,9224,9053,8850,8159,5643,6861,5184
101,48.26216989188534,134.93579864501956,5833,7780,9062,9261,9271,9081,9372,9076,8902,8229,5774,7134,5337
102,48.262627005675796,134.94987487792972,5231,7656,9108,9243,9221,9260,9364,9033,8744,7430,6411,5016,4539
103,48.261484213535,134.96635437011722,5021,7721,9154,9207,9321,8538,9402,9110,8861,7749,6127,5601,5121
104,48.262627005675796,134.98420715332034,5609,7775,9147,9272,9319,9129,9383,9153,8865,7906,6439,6032,5555
105,48.26125565204099,134.99382019042972,6162,7490,9046,8843,9241,9060,9289,8994,8716,7657,7007,6434,6005
106,48.260341395845344,135.00480651855472,6426,7521,9032,9014,9222,9068,9265,8989,8721,7771,6209,6664,6537
107,48.26194133345718,135.02231597900393,6172,7486,8952,8774,9173,9027,9209,8905,8579,7696,6087,6966,7531
108,48.261712774007066,135.0308990478516,5669,5497,8900,8508,9152,8928,9140,8802,8475,7480,5723,6905,5374
109,48.25988426161576,135.04154205322268,5226,4928,8631,8233,8835,8641,8985,8447,8231,6812,5177,4658,4605
110,48.26125565204099,135.0480651855469,5226,4928,8631,8233,8835,8641,8985,8447,8231,6812,5177,4658,4605
111,48.26194133345718,135.05802154541018,4615,4531,8775,8519,9069,8828,8955,8608,8380,6977,4852,4120,2857
112,48.26102708952502,135.07347106933597,4362,4648,9119,8795,9153,8991,9280,8983,8621,7371,4734,4096,3837
113,48.261712774007066,135.0913238525391,4393,6994,8682,8644,9110,8472,8915,8724,8587,7280,5012,4403,3520
114,48.26194133345718,135.11157989501956,4349,4460,8518,8596,9147,8785,8830,8860,8590,7279,4847,4211,3439
115,48.26194133345718,135.1304626464844,4261,4405,9156,9071,9296,8732,9152,9025,8685,7584,4791,3975,4040
116,48.260798525987084,135.14419555664065,4726,4649,9127,9115,9304,8810,9094,9001,8671,7555,4990,4187,4744
117,48.261484213535,135.17028808593753,5193,5030,9163,9236,9315,8854,9173,9077,8795,7873,5545,4599,4342
118,48.260798525987084,135.18230438232425,5431,5625,9123,9176,9273,8929,9150,9105,8844,7753,6092,5804,5846
119,48.262627005675796,135.2011871337891,5935,5769,9118,9220,9222,9044,9160,9111,8882,7932,6011,5989,5598
120,48.26102708952502,135.21011352539065,5892,5690,9104,9196,9250,9053,7671,9074,8810,7721,6200,5895,6189
121,48.261712774007066,135.22144317626956,5961,5566,9084,9150,9220,8891,9348,9049,8771,7990,6227,5935,6152
122,48.26285556103811,135.23757934570315,5299,7208,9099,9161,9203,9061,9310,9048,8745,7696,6013,5265,5527
123,48.261484213535,135.24478912353518,5015,7002,8983,9084,9181,8942,9102,9016,8698,7574,5915,5150,5616
124,48.261484213535,135.25886535644534,5228,7076,9014,9133,9167,8930,9213,9014,8698,7621,5865,5216,5002
125,48.26102708952502,135.27156829833987,5281,7284,9114,9179,9195,8984,9237,8965,8653,7557,5815,5112,5647
126,48.261712774007066,135.28530120849612,5254,7262,9068,9182,9209,8992,9260,8997,8646,7413,6013,5053,3985
127,48.26125565204099,135.29663085937503,5145,6969,9048,9160,9224,9041,9310,9002,8716,7483,5591,5083,5812
128,48.261712774007066,135.3117370605469,5306,6930,9012,9103,9188,8994,9251,9051,8698,7493,5594,4861,5383
129,48.261712774007066,135.32341003417972,5705,5761,9062,9121,9161,9244,8985,9038,8725,7560,6126,4848,5374
130,48.26239844929153,135.33645629882815,5077,4969,9094,8868,9183,9125,8970,9095,8769,7702,5606,4267,5172
131,48.262627005675796,135.34778594970706,4676,4824,9102,8904,9210,9087,9175,9092,8764,7603,5133,4555,4830
132,48.26285556103811,135.36014556884768,4237,5933,9036,8808,9198,8559,9029,8968,8404,7198,4550,3949,4157
133,48.26285556103811,135.3714752197266,3562,4658,8571,8599,8958,8851,8774,8536,7937,6391,4333,3573,3699
134,48.26239844929153,135.4161071777344,3745,4780,8477,8582,8876,8991,7963,8513,7803,6650,4396,4025,3952
135,48.253483953174204,134.7232818603516,4816,7558,9138,9174,9163,7525,9189,9008,8808,8098,6378,5572,4674
136,48.253255355911165,134.73632812500003,5303,7623,9205,9266,9200,8140,9242,9071,8896,8305,6492,5539,5395
137,48.25668420754852,134.75795745849612,5482,7249,9220,9307,9212,8234,9217,9126,8967,8337,6425,6000,5431
138,48.253483953174204,134.76036071777347,5789,7031,9171,9286,9222,8464,9229,9065,8882,8248,6131,6813,6043
139,48.254855515290764,134.77581024169925,5995,7082,9098,9269,9196,7573,9314,9111,8947,8332,6417,6711,6252
140,48.253255355911165,134.79366302490237,6139,7206,9084,9214,9191,9223,9266,9115,8951,8279,6757,6894,6649
141,48.25371254941525,134.8225021362305,6245,7354,9043,9206,9193,9255,9293,9115,8922,8216,6741,7037,6446
142,48.25439833200651,134.85237121582034,6626,7388,9070,9247,9238,9343,9369,9161,8954,8374,6781,6872,6266
143,48.252569557990086,134.8726272583008,6663,7430,9031,9254,9296,8828,9215,9180,8995,8097,6722,6873,6066
144,48.25462692415962,134.88945007324222,6379,7614,9083,9270,9271,8880,9293,9185,8968,8598,6655,6890,6446
145,48.253483953174204,134.89871978759768,6240,7666,9147,9297,9379,9113,9303,9214,8968,8503,6852,6707,6246
146,48.25439833200651,134.91416931152347,6384,7481,9004,9258,9372,9178,9271,9129,8896,8349,6998,7321,6308
147,48.254855515290764,134.926872253418,6693,7348,9009,9200,9344,9211,9373,9078,8819,8296,7223,7601,6256
148,48.253483953174204,134.93888854980472,5760,7331,9066,9220,9342,8757,9363,9059,8816,8313,7314,7200,5898
149,48.253483953174204,134.95056152343753,6093,7769,9108,9249,9354,9083,9387,9147,8885,7964,6498,6792,4969
150,48.25439833200651,134.96429443359378,5480,7745,9149,9281,9386,7515,9462,9194,9001,8126,7166,6592,5649
151,48.25416973883142,134.97734069824222,5663,7514,9130,9243,9327,8965,9427,9131,8987,8111,7062,7235,5920
152,48.25462692415962,134.98935699462893,6769,7055,8933,9031,9221,9084,9240,8875,8756,7656,6845,7329,5695
153,48.2527981583191,135.00583648681643,6393,5497,8822,8286,9130,8923,9145,8879,8653,7545,6428,7387,7616
154,48.25371254941525,135.02471923828128,5929,6106,8688,8271,9060,8827,9031,8729,8440,7535,6696,7514,7019
155,48.25439833200651,135.0374221801758,5794,5305,8754,8501,8993,8807,8943,8658,8249,7288,5565,6239,5311
156,48.25439833200651,135.05184173583987,4649,4870,8699,8625,8988,8815,8958,8515,8429,6914,5181,4689,5482
157,48.253483953174204,135.06523132324222,4237,4487,8782,8454,9062,8851,8405,8628,8301,7007,4904,4078,4118
158,48.25371254941525,135.08548736572268,4357,4565,9117,8789,9317,8961,9078,8934,8594,7529,4966,4038,4095
159,48.25371254941525,135.10368347167972,4245,4314,9067,8752,9296,9068,9168,9087,8807,7549,4966,4089,4121
160,48.25371254941525,135.1242828369141,4059,4181,8916,9021,9116,9114,8843,8644,8335,7128,4586,3921,4111
161,48.25439833200651,135.13835906982425,4171,4370,8786,8666,9099,8913,8778,8637,8279,6945,4584,3930,4061
